var_name,var_label
lbxsldsi,Lactate dehydrogenase (U/L)
lbxcrp,C-reactive protein(mg/dL)
gtddr1mn,Time from fast glucose & challenge(min)
lbxtpo,Thyroid perioxidase antibodies (IU/mL)
wtsa2yr,Two-year A subsample weights
lbxtc,Total Cholesterol( mg/dL)
lbxsck,Creatine Phosphokinase(CPK) (IU/L)
wtsa2yr,Subsample A weights
wtsaf2yr,Fasting Subsample 2 Year MEC Weight'
lbdsglsi,"Glucose, refrigerated serum (mmol/L)"
lbdsirsi,"Iron, refrigerated serum (umol/L)"
lbdstrsi,"Triglycerides, refrigerated (mmol/L)"
lbxsapsi,Alkaline phosphatase (IU/L)
lbxsassi,Aspartate aminotransferase AST (IU/L)
lbxsatsi,Alanine aminotransferase ALT (IU/L)
lbxsgl,"Glucose, refrigerated serum (mg/dL)"
lbxsir,"Iron, refrigerated serum (ug/dL)"
lbxstr,"Triglycerides, refrigerated (mg/dL)"
alq100,The next questions are about drinking alcoholic beverages. Included are liquor (such as whiskey or g
alq110,"In {your/SP's} entire life, {have you/has he/ has she} had at least 12 drinks of any type of alcohol"
alq120q,"In the past 12 months, how often did {you/SP} drink any type of alcoholic beverage? PROBE: How many "
alq120u,UNIT OF MEASURE.
alq130,"In the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how ma"
alq140q,"In the past 12 months, on how many days did {you/SP} have 5 or more drinks of any alcoholic beverage"
alq140u,UNIT OF MEASURE.
alq150,Was there ever a time or times in {your/SP's} life when {you/he/she} drank 5 or more drinks of any k
bpq010,About how long has it been since {you/SP} last had {your/his/her} blood pressure taken by a doctor o
bpq020,{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had hypert
bpq030,"{Were you/Was SP} told on 2 or more different visits that {you/s/he} had hypertension, also called h"
bpq040a,"Because of {your/SP's} (high blood pressure/hypertension), {have you/has s/he} ever been told to . ."
bpq040b,"Because of {your/SP's} (high blood pressure/hypertension), {have you/has s/he} ever been told to con"
bpq040c,"Because of {your/SP's} (high blood pressure/hypertension), {have you/has s/he} ever been told to cut"
bpq040d,"Because of {your/SP's} (high blood pressure/hypertension), {have you/has s/he} ever been told to exe"
bpq040e,"Because of {your/SP's} (high blood pressure/hypertension), {have you/has s/he} ever been told to cut"
bpq040f,"Because of {your/SP's} (high blood pressure/hypertension), {have you/has s/he} ever been told to do "
bpq043a,What else?
bpq043b,What else?
bpq043c,What else?
bpq043d,What else?
bpq050a,HELP AVAILABLE (Are you/Is SP) now taking prescribed medicine
bpq050b,(Are you/Is SP) now controlling (your/his/her) weight or losing weight?
bpq050c,(Are you/Is SP) now cutting down on salt or sodium in (your/his/her) diet?
bpq050d,(Are you/Is SP) now exercising more?
bpq050e,(Are you/Is SP) now cutting down on (your/his/her) alcohol consumption?
bpq060,{Have you/Has SP} ever had {your/his/her} blood cholesterol checked?
bpq070,About how long has it been since {you/SP} last had {your/his/her} blood cholesterol checked?  Has it
bpq080,{Have you/Has SP} ever been told by a doctor or other health professional that {your/his/her} blood 
bpq090a,"To lower (your/his/her) blood cholesterol, (have/has) (you/SP) ever been told by a doctor or other h"
bpq090b,"[To lower (your/his/her) blood cholesterol, (have/has) (you/SP) ever been told by a doctor or other "
bpq090c,"[To lower (your/his/her) blood cholesterol, (have/has) (you/SP) ever been told by a doctor or other "
bpq090d,"[To lower (your/his/her) blood cholesterol, (have/has) (you/SP) ever been told by a doctor or other "
bpq100a,(Are you/Is SP) now following this advice to eat fewer high fat or high cholesterol foods?
bpq100b,(Are you/Is SP) now following this advice to control (your/his/her) weight or lose weight?
bpq100c,(Are you/Is SP) now following this advice to increase (your/his/her) physical activity or exercise?
bpq100d,(Are you/Is SP) now following this advice to take prescribed medicine?
bpq110a,Even though a doctor or other health professional has never told {you/SP} to control {your/his/her} 
bpq110b,Even though a doctor or other health professional has never told {you/SP} to control {your/his/her} 
bpq110c,Even though a doctor or other health professional has never told {you/SP} to control {your/his/her} 
bpq120,Even though a doctor or other health professional has never told {you/SP} to control {your/his/her} 
bpq130,Even though a doctor or other health professional has never told {you/SP} to control {your/his/her} 
bpq140,Even though a doctor or other health professional has never told {you/SP} to control {your/his/her} 
diq010,"The next questions are about specific medical conditions. {Other than during pregnancy, {have you/ha"
diq040g,How old {was SP/were you} when a doctor or other health professional first told {you/him/her} that {
diq040q,How old {was SP/were you} when a doctor or other health professional first told {you/him/her} that {
diq050,{Is SP/Are you} now taking insulin
diq060g,For how long {have you/has SP} been taking insulin?
diq060q,For how long {have you/has SP} been taking insulin?
diq060u,UNIT OF MEASURE
diq070,{Is SP/Are you} now taking diabetic pills to lower {{his/her}/your} blood sugar?  These are sometime
diq080,Has a doctor ever told {you/SP} that diabetes has affected {your/his/her} eyes or that {you/s/he} ha
diq090,{Have you/Has SP} ever had an ulcer or sore on {your/his/her} leg or foot that took more than 4 week
diq100,"During the past 3 months, {have you/has SP} had numbness or loss of feeling in {your/his/her} hands "
diq110,"Has the numbness or loss of feeling been in {your/SP's} hands, feet, or both?"
diq120,"During the past 3 months, {have you/has SP} had a painful sensation or tingling in {your/his/her} ha"
diq130,"Has the painful sensation or tingling been in {your/his/her} hands, feet, or both?"
diq140,{Do you/Does SP} ever get pain in either leg while {you are/s/he is} walking?
diq150,Does this pain include pain in {your/SP's} calf or calves?
ald240,The next questions are about alcoholic beverages. When answering think about {your/SP's} use over th
ald250,"[During the past 30 days] how often did {you/SP} drink wine, wine coolers, sangria or champagne?"
ald260,"[During the past 30 days] how often did {you/SP} drink hard liquor such as tequila, gin, vodka, scot"
dbd020,How old was {SP} when {he/she} was first fed something other than breastmilk or water?
dbd030,How old was {SP} when {he/she} completely stopped breastfeeding or being fed breastmilk?
dbd040,How old was {SP} when {he/she} was first fed formula on a daily basis?
dbd050,How old was {SP} when {he/she} completely stopped drinking formula?
dbd060,How old was {SP} when {he/she} was first fed milk on a daily basis?
dbd070j,What type of milk was {SP} first fed on a daily basis?  Was it . . .
dbd080,How old was {SP} when {he/she} started eating solid foods [such as strained foods like baby food or 
dbd090,{Next I have some general questions about {your/SP's} eating habits.}  {First/Next} are questions ab
dbd195,Now I'm going to ask a few questions about milk products.  Do not include their use in cooking.  In 
dbd220j,What type of milk was it?  Was it usually . . .
dbd235a,"Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life.  "
dbd235b,"Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life.  "
dbd235c,"Now, I'm going to ask you how often {you/SP} drank milk at different times in {your/his/her} life.  "
dbd270a,"The next question are about the amout of food {you/SP}eat{s}. On average day, how many helpings of t"
dbd270b,"On the average day, how may helpings of the following kinds of foods {do you/does SP} eat? Milk or d"
dbd270c,"On an average day, how many helpings of the following kinds of foods {do you/does SP}eat? Fruis or f"
dbd270d,"On an average day, how many helpings of the following kinds of foods {do you/does SP}eat? Vegetables"
dbd270e,"On an average day, how many helpings of the following kinds of foods {do you/does SP}eat? Breads and"
dbd360,"During the school year, {do you/does SP} attend a kindergarten, grade school, junior or high school?"
dbd370,Does {your/SP's} school serve school lunches?  These are complete lunches that cost the same every d
dbd380,"During the school year, about how many times a week {do you/does SP} usually eat a complete school l"
dbd400,Does {your/SP's} school serve a complete breakfast that costs the same every day?
dbd410,"During the school year, about how many times a week {do you/does SP} usually get a complete breakfas"
dbq010,Now I'm going to ask you some general questions about {SP's} eating habits.  Was {SP} ever breastfed
dbq070a,What type of milk was {SP} first fed on a daily basis?  Was it . . .
dbq070b,What type of milk was {SP} first fed on a daily basis?  Was it . . .
dbq070c,What type of milk was {SP} first fed on a daily basis?  Was it . . .
dbq070d,What type of milk was {SP} first fed on a daily basis?  Was it . . .
dbq095,What type of slat {do you/does SP} usually add to {your/his/her/SP's} food at the table
dbq100,How often {do you/does SP} add ordinary salt to {your/his/her/SP's} food at the table?
dbq110,{Do you/Does SP} ever eat poultry such as chicken and turkey? Please include foods that are made wit
dbq120,"When {you eat/SP eats} chicken or other types of poultry, how often {do you/does s/he} eat the skin?"
dbq130,"{Do you/Does SP} ever eat meat such as beef, pork, lamb or veal? Please include foods that are made "
dbq140,"When {you eat/SP eats} meat, how often {do you/does s/he} eat the visible fat? [Visible fat is the f"
dbq220a,What type of milk was it?  Was it usually . . .
dbq220b,What type of milk was it?  Was it usually . . .
dbq220c,What type of milk was it?  Was it usually . . .
dbq220d,What type of milk was it?  Was it usually . . .
dbq300,The next questions are about meals provided by community or government programs.  In the past 12 mon
dbq330,"In the past 12 months, did {you/SP} go to a community program or senior center to eat prepared meals"
dbq390,"{Do you/Does SP} get these lunches free, at a reduced price, or {do you/does he/she} pay full price?"
dbq420,"{Do you/Does SP} get those breakfast free, at a reduced price, or {do you/does he/she} pay full pric"
ecd070a,How much did {SP NAME} weigh at birth?
ecd070b,How much did {SP NAME} weigh at birth?
ecd100,(First/Next) I have some questions about day care and preschool.  By day care I mean child care wher
ecd110,Does {SP} now attend day care or preschool?
ecq010,First I have some questions about {SP NAME's} birth. How old was {SP NAME's} biological mother when 
ecq020,Did {SP NAME's} biological mother smoke at any time while she was pregnant with {him/her}?
ecq030,"At any time during the pregnancy, did {SP NAME's} biological mother quit or refrain from smoking for"
ecq040,About what month of the pregnancy did {SP NAME's} biological mother stop smoking?
ecq060,"Did {SP NAME} receive any newborn care in an intensive care unit, premature nursery, or any other ty"
ecq080,Did {SP NAME} weigh . . .
ecq090,Did {SP NAME} weigh . . .
ecq130,"On a typical weekday, about how many hours does {SP} spend away from home?"
ecq140,"On a typical weekend day, about how many hours does {SP} spend away from home?"
fsq121,Is {SP} now attending {Head Start/Early Head Start}?
imq010,{Have you/Has SP} ever received the hepatitis A vaccine series?  This is a two dose vaccine that is 
imq020,{Have you/Has SP} ever received the 3-dose series of the hepatitis B vaccine?  This vaccine is given
imq030,{Have you/Has SP} ever had a pneumonia vaccination?  This shot is usually given only once in a perso
mcd093,In what year did {you/SP} receive {your/his/her} first transfusion?
mcq010,Has a doctor or other health professional ever told {you/SP} that {you have/s/he/SP has} asthma?
mcq020,How old {were you/was SP} when {you were/s/he was} first told {he/she} had asthma?
mcq030,{Do you/Does SP} still have asthma?
mcq040,"During the past 12 months, {have you/has SP} had an episode of asthma or an asthma attack?"
mcq050,"[During the past 12 months], {have you/has SP} had to visit an emergency room or urgent care center "
mcq053,"During the past 3 months, {have you/has SP} been on treatment for anemia, sometimes called ""tired bl"
mcq060,Has a doctor or health professional ever told {you/SP} that {you/s/he/SP} had attention deficit diso
mcq080,Has a doctor or health professional ever told {you/SP} that {you were/s/he/SP was} overweight?
mcq083,Has a representative from a school or a health professional ever told {you/SP} that {s/he/SP} had a 
mcq090,{Have you/Has SP} ever had chickenpox?
mcq092,{Have you/Has SP} ever received a blood transfusion?
mcq100,"Has a doctor or health professional ever told {SP} that {s/he} had hypertension, also called high bl"
mcq110,"Because of {SP's} high blood pressure [hypertension], is {he/she} currently taking medicine?"
mcq114,Has {SP} ever been tested for lead poisoning?
mcq117q,How long has it been since {SP} was tested?
mcq117u,Unit of measure
mcq120a,"During the past 12 months, {have you/has SP} had . . .hay fever?"
mcq120b,"During the past 12 months, {have you/has SP} had . . .3 or more ear infections?"
mcq120c,"During the past 12 months, {have you/has SP} had . . .frequent or severe headaches, including migrai"
mcq120d,"During the past 12 months, {have you/has SP} had . . .stuttering or stammering?"
mcq140,"{Do you/Does SP} have trouble seeing, even when wearing glasses or contact lenses, if {you/he/she} w"
mcq147,Have {SP's} periods or menstrual cycles started yet?
mcq148,How old was {SP} when her periods or menstrual cycles started?
mcq150g,"During the past 12 months, that is, since {DISPLAY CURRENT MONTH} of {DISPLAY LAST YEAR}, about how "
mcq150q,"During the past 12 months, that is, since {DISPLAY CURRENT MONTH} of {DISPLAY LAST YEAR}, about how "
mcq160a,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had arthritis?
mcq160b,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had congestive he
mcq160c,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had coronary hear
mcq160d,"Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had angina, also "
mcq160e,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had a heart attac
mcq160f,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had a stroke?
mcq160g,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had emphysema?
mcq160h,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had a goiter?
mcq160i,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had another thyro
mcq160j,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .was overweight?
mcq160k,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had chronic bronc
mcq160l,Has a doctor or other health professional ever told {you/SP}  that {you/s/he} . . .had any kind of l
mcq170h,{Do you/Does SP} still . . . have a goiter?
mcq170i,{Do you/Does SP} still . . . have another thyroid disease?
mcq170k,{Do you/Does SP} still . . . have chronic bronchitis?
mcq170l,{Do you/Does SP} still . . . have any kind of liver condition?
mcq180a,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . . had arthritis?
mcq180b,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had congestive heart f
mcq180c,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had coronary heart dis
mcq180d,"How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had angina, also calle"
mcq180e,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had a heart attack (al
mcq180f,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had a stroke?
mcq180g,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had emphysema?
mcq180h,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had a goiter?
mcq180i,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had another thyroid di
mcq180k,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had chronic bronchitis
mcq180l,How old {were you/was SP} when {you were/s/he was} first told {you/s/he} . . .had any kind of liver 
mcq190,Which type of arthritis was it
mcq200,{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had an ulc
mcq210,During the past 12 months {have you/has SP} had an ulcer?
mcq220,{Have you/Has SP} ever been told by a doctor or other health professional that {you/s/he} had cancer
mcq230a,What kind of cancer was it?
mcq230b,What kind of cancer was it?
mcq230c,What kind of cancer was it?
mcq230d,What kind of cancer was it?
mcq240a,How old {were you/was SP} when {TYPE OF CANCER/cancer} was first diagnosed?  How old (were you/was S
mcq240aa,How old (were you/was SP) when testicular cancer was first diagnosed?
mcq240b,How old {were you/was SP} when blood cancer was first diagnosed?
mcq240bb,How old (were you/was SP) when thyroid cancer was first diagnosed?
mcq240c,How old (were you/was SP) when bone cancer was first diagnosed?
mcq240cc,How old (were you/was SP) when uterine cancer was first diagnosed?
mcq240d,How old (were you/was SP) when brain cancer was first diagnosed?
mcq240dd,How old (were you/was SP) when some other type of cancer was first diagnosed?
mcq240e,How old (were you/was SP) when breast cancer was first diagnosed?
mcq240f,How old (were you/was SP) when cervical cancer was first diagnosed?
mcq240g,How old (were you/was SP) when colon cancer was first diagnosed?
mcq240h,How old (were you/was SP) when esophageal cancer was first diagnosed?
mcq240i,How old (were you/was SP) when gallbladder cancer was first diagnosed?
mcq240j,How old (were you/was SP) when kidney cancer was first diagnosed?
mcq240k,How old (were you/was SP) when larynx or windpipe cancer was first diagnosed?
mcq240l,How old (were you/was SP) when leukemia was first diagnosed?
mcq240m,How old (were you/was SP) when liver cancer was first diagnosed?
mcq240n,How old (were you/was SP) when lung cancer was first diagnosed?
mcq240o,How old (were you/was SP) when lymphoma or Hodgkin's Disease was first diagnosed?
mcq240p,How old (were you/was SP) when melanoma was first diagnosed?
mcq240q,"How old (were you/was SP) when mouth, tongue, or lip cancer was first diagnosed?"
mcq240r,How old (were you/was SP) when cancer of the nervous system was first diagnosed?
mcq240s,How old (were you/was SP) when ovarian cancer was first diagnosed?
mcq240t,How old (were you/was SP) when pancreatic cancer was first diagnosed?
mcq240u,How old (were you/was SP) when prostate cancer was first diagnosed?
mcq240v,How old (were you/was SP) when rectal cancer was first diagnosed?
mcq240w,How old (were you/was SP) when non-melanoma skin cancer was first diagnosed?
mcq240x,How old (were you/was SP) when the unknown kind of skin cancer was first diagnosed?
mcq240y,How old (were you/was SP) when soft tissue (muscle or fat) cancer was first diagnosed?
mcq240z,How old (were you/was SP) when stomach cancer was first diagnosed?
mcq245a,"During the past 12 months, that is since {DISPLAY CURRENT MONTH} of last year, about how many days d"
mcq245b,"During the past 12 months, that is since {DISPLAY CURRENT MONTH} of last year, about how many days d"
mcq250a,"Including living and deceased, were any of {SP's/ your} biological that is, blood relatives includin"
mcq250b,"Including living and deceased, were any of {SP's/ your} biological that is, blood relatives includin"
mcq250c,"Including living and deceased, were any of {SP's/ your} biological that is, blood relatives includin"
mcq250d,"Including living and deceased, were any of {SP's/ your} biological that is, blood relatives includin"
mcq250e,"Including living and deceased, were any of {SP's/ your} biological that is, blood relatives includin"
mcq250f,"Including living and deceased, were any of {SP's/ your} biological that is, blood relatives includin"
mcq250g,"Including living and deceased, were any of {SP's/ your} biological that is, blood relatives includin"
mcq260aa,Which biological [blood] family member?
mcq260ab,Which biological [blood] family member?
mcq260ac,Which biological [blood] family member?
mcq260ad,Which biological [blood] family member?
mcq260ae,Which biological [blood] family member?
mcq260af,Which biological [blood] family member?
mcq260ag,Which biological [blood] family member?
mcq260ah,Which biological [blood] family member?
mcq260ai,Which biological [blood] family member?
mcq260ba,Which biological [blood] family member?
mcq260bb,Which biological [blood] family member?
mcq260bc,Which biological [blood] family member?
mcq260bd,Which biological [blood] family member?
mcq260be,Which biological [blood] family member?
mcq260bf,Which biological [blood] family member?
mcq260bg,Which biological [blood] family member?
mcq260bh,Which biological [blood] family member?
mcq260bi,Which biological [blood] family member?
mcq260ca,Which biological [blood] family member?
mcq260cb,Which biological [blood] family member?
mcq260cc,Which biological [blood] family member?
mcq260cd,Which biological [blood] family member?
mcq260ce,Which biological [blood] family member?
mcq260cf,Which biological [blood] family member?
mcq260cg,Which biological [blood] family member?
mcq260ch,Which biological [blood] family member?
mcq260ci,Which biological [blood] family member?
mcq260da,Which biological [blood] family member?
mcq260db,Which biological [blood] family member?
mcq260dc,Which biological [blood] family member?
mcq260dd,Which biological [blood] family member?
mcq260de,Which biological [blood] family member?
mcq260df,Which biological [blood] family member?
mcq260dg,Which biological [blood] family member?
mcq260dh,Which biological [blood] family member?
mcq260di,Which biological [blood] family member?
mcq260ea,Which biological [blood] family member?
mcq260eb,Which biological [blood] family member?
mcq260ec,Which biological [blood] family member?
mcq260ed,Which biological [blood] family member?
mcq260ee,Which biological [blood] family member?
mcq260ef,Which biological [blood] family member?
mcq260eg,Which biological [blood] family member?
mcq260eh,Which biological [blood] family member?
mcq260ei,Which biological [blood] family member?
mcq260fa,Which biological [blood] family member?
mcq260fb,Which biological [blood] family member?
mcq260fc,Which biological [blood] family member?
mcq260fd,Which biological [blood] family member?
mcq260fe,Which biological [blood] family member?
mcq260ff,Which biological [blood] family member?
mcq260fg,Which biological [blood] family member?
mcq260fh,Which biological [blood] family member?
mcq260fi,Which biological [blood] family member?
mcq260ga,Which biological [blood] family member?
mcq260gb,Which biological [blood] family member?
mcq260gc,Which biological [blood] family member?
mcq260gd,Which biological [blood] family member?
mcq260ge,Which biological [blood] family member?
mcq260gf,Which biological [blood] family member?
mcq260gg,Which biological [blood] family member?
mcq260gh,Which biological [blood] family member?
mcq260gi,Which biological [blood] family member?
mcq270,Did {your/SP's} biological mother ever fracture her hip?
mcq280,About how old was she when she fractured her hip (the first time)?
mcq290,Was she. . . .
paaquex,
pad020,The next series of questions are about physical activities that {you/SP} {have/has} done over the pa
pad080,"On those days when {you/SP} walked or bicycled, about how long did {you/s/he} spend altogether doing"
pad120,"[Over the past 30 days], how often did {you/SP} do these tasks in or around {your/his/her} home or y"
pad160,About how long did {you/SP} do these tasks each time (minutes)?
pad200,"The next questions are about physical activities including exercise, sports, and physically active h"
pad320,"[Over the past 30 days], did {you/SP} do moderate activities for at least 10 minutes that cause only"
pad440,"Over the past 30 days, did {you/SP} do any physical activities specifically designed to strengthen {"
pad460,"[Over the past 30 days], how often did {you/SP} do these physical activities?  [Activities designed "
pad570,Now I will ask about TV watching and computer use. About how many hours did {you/SP} sit and watch T
paq050q,"[Over the past 30 days], how often did {you/SP} do this?  [Walk or bicycle as part of getting to and"
paq050u,UNIT OF MEASURE.
paq100,"Over the past 30 days, did {you/SP} do any tasks in or around {your/his/her} home or yard for at lea"
paq180,Please tell me which of these four sentences best describes {your/SP's} usual daily activities?  [Da
paq480,"Now I will ask about TV watching or computer use.  Over the past 30 days, on a typical day how much "
paq500,How does the amount of activity that you reported {for SP} for the past 30 days compare with {your/h
paq520,"(MEC Interview Version) Compared with most {boys/girls} {your/SP's} age, would you say that {you are"
paq540,"Compared with {yourself/himself/herself} 10 years ago, would you say that {you are/SP is} . . ."
paq560,Now I'd like to ask you some questions about {SP's} activities.  How many times per week {does SP} p
paq580,About how many hours did {you/SP} use a computer or play computer games yesterday? Would you say...
paaquex,Questionnaire source flag for weighting
padactiv,"[Over the past 30 days], what {vigorous/moderate} activities did {you/SP} do?"
paddurat,"[Over the past 30 days], on average about how long did {you/SP} do {activity} each time?"
padlevel,Reported intensity level of activity
padmets,Metabolic equivalent(MET) intensity level for activity.
padtimes,"[Over the past 30 day], how often did {you/SP} do {activity}?"
smaquex,Questionnaire source flag for weighting.
smd630,How old were you when you smoked a whole cigarette for the first time?
smd680,The following questions ask about use of tobacco or nicotine products in the past 5 days.  During th
smd690a,Which of these products did {you/he/she} use?
smd690b,Which of these products did {you/he/she} use?
smd690c,Which of these products did {you/he/she} use?
smd690d,Which of these products did {you/he/she} use?
smd690f,Which of these products did {you/he/she} use?
smd710,"During the past 5 days {including today}, on how many days did {you/he/she} smoke cigarettes?"
smd720,"During the past 5 days, on the days {you/he/she} smoked, how many cigarettes did {you/he/she} smoke "
smd740,"During the past 5 days (including today), on how many days did {you/he/she} smoke a pipe?"
smd750,"During the past 5 days, on the days did {you/he/she} smoked a pipe, how many pipes did {you/he/she} "
smd770,"During the past 5 days (including today), on how many days did {you/he/she} smoke cigars?"
smd780,"During the past 5 days, on the days {you/he/she} smoked cigars, how many cigars did {you/he/she} smo"
smd800,"During the past 5 days (including today), on how many days did {you/he/she} use chewing tobacco, suc"
smd830,"During the past 5 days (including today), on how many days did {you/he/she} use any product containi"
smq620,The following questions are about cigarette smoking and other tobacco use.  Have you ever tried ciga
smq640,"During the past 30 days, on how many days did you smoke cigarettes?"
smq650,"During the past 30 days, on the days that you smoked, how many cigarettes did you smoke per day?"
smq660,"During the past 30 days, on the days that you smoked, which brand of cigarettes did you usually smok"
smq664b,{Were/Was} the Benson and Hedges cigarettes menthol or non-menthol?
smq664c,{Were/Was} the Camel cigarettes menthol or non-menthol?
smq664m,{Were/Was} the Marlboro cigarettes menthol or non-menthol?
smq664o,{Were/Was} the other brand cigarettes menthol or non-menthol?
smq664w,{Were/Was} the Winston cigarettes menthol or non-menthol?
smq666b,"{Were/Was} the Benson and Hedges cigarettes regulars, lights, or ultra-lights?"
smq666c,"{Were/Was} the Camel cigarettes regulars, lights, or ultra-lights?"
smq666k,"{Were/Was} the Kool cigarettes regulars, lights, or ultra-lights?"
smq666m,"{Were/Was} the Marlboro cigarettes regulars, lights, or ultra-lights?"
smq666n,"{Were/Was} the Newport cigarettes regulars, lights, or ultra-lights?"
smq666o,"{Were/Was} the other brand cigarettes regulars, lights, or ultra-lights?"
smq666s,"{Were/Was} the Salem cigarettes regulars, lights, or ultra-lights?"
smq666w,"{Were/Was} the Winston cigarettes regulars, lights, or ultra-lights?"
smq670,"During the past 12 months, have you stopped smoking for one day or longer because you were trying to"
smq690e,Which of these products did {you/he/she} use?
smq725,When did {you/he/she} smoke {your/his/her} last cigarette? Was it...
smq755,When did {you/he/she} smoke {your/his/her} last pipe? Was it...
smq785,When did {you/he/she} smoke {your/his/her} last cigar? Was it...
smq815,When did {you/he/she} last use chewing tobacco? Was it...
smq817,"During the past 5 days {including today}, on how many days did {you/he/she} use snuff, such as Skoal"
smq819,When did {you/he/she} last use snuff? Was it...
smq840,When did {you/he/she} last use a product containing nicotine? Was it...
smd030,How old {were you/was SP} when {you/s/he} first started to smoke cigarettes fairly regularly?
smd055,How old {were you/was SP} when {you/s/he} last smoked cigarettes {fairly regularly}?
smd057,"At that time, about how many cigarettes did {you/SP} usually smoke per day?"
smd070,"On average, how many cigarettes {do you/does SP} now smoke per day?"
smd075,For about how many years {have you/has SP} smoked this amount?
smd080,On how many of the past 30 days did {you/SP} smoke a cigarette?
smd090,"During the past 30 days, on the days that {you/SP} smoked, about how many cigarettes did {you/s/he} "
smd100br,Cigarette Brand/sub-brand
smd100co,FTC Carbon Monoxide Content
smd100fl,Filter type
smd100ln,Length in Millimeters
smd100mn,CIGARETTE PRODUCT MENTHOLATED OR NON-MENTHOLATED
smd100ni,FTC Nicotine Content
smd100tr,FTC Tar Content
smd130,How old {were you/was SP} when {you/s/he} first started to smoke a pipe fairly regularly?
smd160,How old {were you/was SP} when {you/s/he} first started to smoke a cigar fairly regularly?
smd190,How old {were you/was SP} when {you/s/he} first started to use snuff fairly regularly?
smd203,"How many ""pinches"", ""dips"" or ""rubs"" of snuff {do you/does SP} use per day?"
smd220,How old {were you/was SP} when {you/s/he} first started to use chewing tobacco fairly regularly?
smd233,"How many ""plugs"", ""wads"" or ""chaws"" of chewing tobacco {do you/does SP} use per day?"
smd235,For about how many years {have you/has SP} used this amount?
smq020,These next questions are about cigarette smoking and other tobacco use. {Have you/Has SP} smoked at 
smq040,{Do you/Does SP} now smoke cigarettes . .
smq050q,How long has it been since {you/SP} quit smoking cigarettes?
smq050u,UNIT OF MEASURE
smq120,{Have you/Has SP} smoked a pipe at least 20 times in {your/his/her} entire life?
smq140,{Do you/Does SP} now smoke a pipe . . .
smq143,How many pipefuls of tobacco {do you/does SP} smoke per day?
smq145,For about how many years {have you/has SP} smoked this amount?
smq150,{Have you/Has SP} smoked a cigar at least 20 times in {your/his/her} entire life?
smq170,{Do you/Does SP} now smoke a cigar . . .
smq173,How many cigars {do you/does SP} smoke per day?
smq175,For about how many years {have you/has SP} smoked this amount?
smq180,"{Have you/Has SP} used snuff, such as Skoal, Skoal Bandit, or Copenhagen at least 20 times in {your/"
smq200,{Do you/Does SP} now use snuff . . .
smq205,For about how many years {have you/has SP} used this amount?
smq210,"{Have you/Has SP} used chewing tobacco, such as Redman, Levi Garrett or Beechnut at least 20 times i"
smq230,{Do you/Does SP} now use chewing tobacco . . .
whd010,These next questions ask about {your/SP's} height and weight at different times in {your/his/her} li
whd020,How much {do you/does SP} weigh without clothes or shoes?
whd040,Would {you/SP} like to weigh . . .
whd045,How much {would you/would SP} like to weigh?
whd050,How much did {you/SP} weigh a year ago?
whd060,Was the change between {your/SP's} current weight and {your/his/her} weight a year ago intentional?
whd080a,How did {you/SP} try to lose weight?
whd080b,How did {you/SP} try to lose weight?
whd080c,How did {you/SP} try to lose weight?
whd080d,How did {you/SP} try to lose weight?
whd080e,How did {you/SP} try to lose weight?
whd080f,How did {you/SP} try to lose weight?
whd080g,How did {you/SP} try to lose weight?
whd080h,How did {you/SP} try to lose weight?
whd080i,How did {you/SP} try to lose weight?
whd080j,How did {you/SP} try to lose weight?
whd080k,How did {you/SP} try to lose weight?
whd080l,How did {you/SP} try to lose weight?
whd080m,How did {you/SP} try to lose weight?
whd080n,How did {you/SP} try to lose weight?
whd080o,How did {you/SP} try to lose weight?
whd080p,How did {you/SP} try to lose weight?
whd080q,How did {you/SP} try to lose weight?
